activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,18827175,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,,,CHEMBL4303084,,2020,,CHEMBL3301610,ABEMACICLIB,CHEMBL3301610,5.18,False,http://www.openphacts.org/units/Nanomolar,3133933,=,52,True,=,,IC50,nM,,6620.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,6.62
,18827176,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,,,CHEMBL4303084,,2020,,CHEMBL682,AMODIAQUINE,CHEMBL682,5.29,False,http://www.openphacts.org/units/Nanomolar,3133934,=,52,True,=,,IC50,nM,,5150.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,5.15
,18827177,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,,,CHEMBL4303084,,2020,,CHEMBL264241,ANIDULAFUNGIN,CHEMBL264241,5.33,False,http://www.openphacts.org/units/Nanomolar,3133935,=,52,True,=,,IC50,nM,,4640.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,4.64
,18827178,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,,,CHEMBL4303084,,2020,,CHEMBL46740,BAZEDOXIFENE,CHEMBL46740,5.46,False,http://www.openphacts.org/units/Nanomolar,3133936,=,52,True,=,,IC50,nM,,3440.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,3.44
,18827179,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,COc1cc2c3cc1Oc1c(OC)c(OC)cc4c1[C@@H](Cc1ccc(O)c(c1)Oc1ccc(cc1)C[C@@H]3N(C)CC2)N(C)CC4,,,CHEMBL4303084,,2020,,CHEMBL504323,BERBAMINE,CHEMBL504323,5.10,False,http://www.openphacts.org/units/Nanomolar,3133937,=,52,True,=,,IC50,nM,,7870.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,7.87
,18827180,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,,,CHEMBL4303084,,2020,,CHEMBL590799,CAMOSTAT,CHEMBL590799,,False,http://www.openphacts.org/units/Nanomolar,3133938,>,52,True,>,,IC50,nM,,50000.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,50.0
,18827181,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C,,,CHEMBL4303084,,2020,,CHEMBL449782,CEPHARANTHINE,CHEMBL449782,5.35,False,http://www.openphacts.org/units/Nanomolar,3133939,=,52,True,=,,IC50,nM,,4470.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,4.47
,18827182,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,,,CHEMBL4303084,,2020,,CHEMBL76,CHLOROQUINE,CHEMBL76,5.14,False,http://www.openphacts.org/units/Nanomolar,3133940,=,52,True,=,,IC50,nM,,7280.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,7.28
,18827183,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,,,CHEMBL4303084,,2020,,CHEMBL2040682,CICLESONIDE,CHEMBL2040682,5.36,False,http://www.openphacts.org/units/Nanomolar,3133941,=,52,True,=,,IC50,nM,,4330.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,4.33
,18827184,[],CHEMBL4303812,Antiviral activity against SARS-CoV-2 (viral titer) measured by plaque assay in Vero cells at MOI 0.0125 after 24 hr,F,,,BAO_0000190,BAO_0000218,organism-based format,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,,,CHEMBL4303084,,2020,,CHEMBL2355051,CLOMIPHENE,CHEMBL2355051,5.27,False,http://www.openphacts.org/units/Nanomolar,3133942,=,52,True,=,,IC50,nM,,5360.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,uM,UO_0000065,,5.36
